Name,Set,Color,ColorID,Type,Subtype,CMC,Rarity,Text,Keywords,Power,Toughness,Printings,Layout,Side
Lonesome Unicorn // Rider in Need,ELD,W,W,Creature,Unicorn,5,Common,Vigilance,Vigilance,3,3,"ELD, MB1, PRM",Adventure,a
Lonesome Unicorn // Rider in Need,ELD,W,W,Sorcery,Adventure,5,Common,Create a 2/2 white Knight creature token with vigilance. (Then exile this card. You may cast the creature later from exile.),Vigilance,,,"ELD, MB1, PRM",Adventure,b
Mysterious Pathlighter,ELD,W,W,Creature,Faerie,3,Uncommon,"Flying
Each creature you control that has an Adventure enters the battlefield with an additional +1/+1 counter on it. (It doesn't need to have gone on the adventure first.)",Flying,2,2,ELD,Normal,
Outflank,ELD,W,W,Instant,,1,Common,Outflank deals damage to target attacking or blocking creature equal to the number of creatures you control.,,,,ELD,Normal,
Prized Griffin,ELD,W,W,Creature,Griffin,5,Common,Flying,Flying,3,4,ELD,Normal,
Rally for the Throne,ELD,W,W,Instant,,3,Uncommon,"Create two 1/1 white Human creature tokens.
Adamant — If at least three white mana was spent to cast this spell, you gain 1 life for each creature you control.",Adamant,,,ELD,Normal,
Realm-Cloaked Giant // Cast Off,ELD,W,W,Creature,Giant,7,Mythic,Vigilance,Vigilance,7,7,"ELD, PELD, PRM",Adventure,a
Realm-Cloaked Giant // Cast Off,ELD,W,W,Sorcery,Adventure,7,Mythic,Destroy all non-Giant creatures. (Then exile this card. You may cast the creature later from exile.),,,,"ELD, PELD, PRM",Adventure,b
Righteousness,ELD,W,W,Instant,,1,Uncommon,Target blocking creature gets +7/+7 until end of turn.,,,,"10E, 2ED, 3ED, 4BB, 4ED, 5ED, 9ED, CED, CEI, DDL, ELD, FBB, LEA, LEB, M10, SUM",Normal,
Shepherd of the Flock // Usher to Safety,ELD,W,W,Creature,"Human, Peasant",2,Uncommon,,,3,1,"ELD, PRM",Adventure,a
Shepherd of the Flock // Usher to Safety,ELD,W,W,Instant,Adventure,2,Uncommon,Return target permanent you control to its owner's hand. (Then exile this card. You may cast the creature later from exile.),,,,"ELD, PRM",Adventure,b
Shining Armor,ELD,W,W,Artifact,Equipment,2,Common,"Flash
When Shining Armor enters the battlefield, attach it to target Knight you control.
Equipped creature gets +0/+2 and has vigilance.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)","Equip, Flash",,,"ELD, MB1",Normal,
Silverflame Ritual,ELD,W,W,Sorcery,,4,Common,"Put a +1/+1 counter on each creature you control.
Adamant — If at least three white mana was spent to cast this spell, creatures you control gain vigilance until end of turn.",Adamant,,,ELD,Normal,
Silverflame Squire // On Alert,ELD,W,W,Creature,"Human, Soldier",2,Common,,,2,1,"ELD, PRM",Adventure,a
Silverflame Squire // On Alert,ELD,W,W,Instant,Adventure,2,Common,Target creature gets +2/+2 until end of turn. Untap it. (Then exile this card. You may cast the creature later from exile.),,,,"ELD, PRM",Adventure,b
"Syr Alin, the Lion's Claw",ELD,W,W,Creature,"Human, Knight",5,Uncommon,"First strike
Whenever Syr Alin, the Lion's Claw attacks, other creatures you control get +1/+1 until end of turn.",First strike,4,4,ELD,Normal,
Trapped in the Tower,ELD,W,W,Enchantment,Aura,2,Common,"Enchant creature without flying
Enchanted creature can't attack or block, and its activated abilities can't be activated.",Enchant,,,ELD,Normal,
True Love's Kiss,ELD,W,W,Instant,,4,Common,"Exile target artifact or enchantment.
Draw a card.",,,,ELD,Normal,
Venerable Knight,ELD,W,W,Creature,"Human, Knight",1,Uncommon,"When Venerable Knight dies, put a +1/+1 counter on target Knight you control.",,2,1,ELD,Normal,
Worthy Knight,ELD,W,W,Creature,"Human, Knight",2,Rare,"Whenever you cast a Knight spell, create a 1/1 white Human creature token.",,2,2,"ELD, PELD",Normal,
Youthful Knight,ELD,W,W,Creature,"Human, Knight",2,Common,First strike,First strike,2,1,"10E, ATH, E01, ELD, MB1, MM3, PS11, STH, TPR",Normal,
Animating Faerie // Bring to Life,ELD,U,U,Creature,Faerie,3,Uncommon,Flying,Flying,2,2,"ELD, PRM",Adventure,a
Animating Faerie // Bring to Life,ELD,U,U,Sorcery,Adventure,3,Uncommon,Target noncreature artifact you control becomes a 0/0 artifact creature. Put four +1/+1 counters on it.,,,,"ELD, PRM",Adventure,b
Brazen Borrower // Petty Theft,ELD,U,U,Creature,"Faerie, Rogue",3,Mythic,"Flash
Flying
Brazen Borrower can block only creatures with flying.","Flash, Flying",3,1,"ELD, PELD, PLIST, PRM",Adventure,a
Brazen Borrower // Petty Theft,ELD,U,U,Instant,Adventure,3,Mythic,Return target nonland permanent an opponent controls to its owner's hand.,,,,"ELD, PELD, PLIST, PRM",Adventure,b
Charmed Sleep,ELD,U,U,Enchantment,Aura,3,Common,"Enchant creature
When Charmed Sleep enters the battlefield, tap enchanted creature.
Enchanted creature doesn't untap during its controller's untap step.",Enchant,,,ELD,Normal,
Corridor Monitor,ELD,U,U,"Artifact, Creature",Construct,2,Common,"When Corridor Monitor enters the battlefield, untap target artifact or creature you control.",,1,4,"2XM, ELD",Normal,
Didn't Say Please,ELD,U,U,Instant,,3,Common,Counter target spell. Its controller mills three cards.,Mill,,,ELD,Normal,
"Emry, Lurker of the Loch",ELD,U,U,Creature,"Merfolk, Wizard",3,Rare,"This spell costs {1} less to cast for each artifact you control.
When Emry, Lurker of the Loch enters the battlefield, mill four cards.
{T}: Choose target artifact card in your graveyard. You may cast that card this turn. (You still pay its costs. Timing rules still apply.)",Mill,1,2,"ELD, PELD",Normal,
Fae of Wishes // Granted,ELD,U,U,Creature,"Faerie, Wizard",2,Rare,"Flying
{1}{U}, Discard two cards: Return Fae of Wishes to its owner's hand.",Flying,1,4,"ELD, PELD, PPRO, PRM",Adventure,a
Fae of Wishes // Granted,ELD,U,U,Sorcery,Adventure,2,Rare,You may reveal a noncreature card you own from outside the game and put it into your hand.,,,,"ELD, PELD, PPRO, PRM",Adventure,b
Faerie Vandal,ELD,U,U,Creature,"Faerie, Rogue",2,Uncommon,"Flash
Flying
Whenever you draw your second card each turn, put a +1/+1 counter on Faerie Vandal.","Flash, Flying",1,2,"ELD, ZNC",Normal,
Folio of Fancies,ELD,U,U,Artifact,,2,Rare,"Players have no maximum hand size.
{X}{X}, {T}: Each player draws X cards.
{2}{U}, {T}: Each opponent mills cards equal to the number of cards in their hand.",Mill,,,"ELD, PELD",Normal,
Frogify,ELD,U,U,Enchantment,Aura,2,Uncommon,"Enchant creature
Enchanted creature loses all abilities and is a blue Frog creature with base power and toughness 1/1. (It loses all other card types and creature types.)",Enchant,,,"2XM, ELD",Normal,
"Gadwick, the Wizened",ELD,U,U,Creature,"Human, Wizard",3,Rare,"When Gadwick, the Wizened enters the battlefield, draw X cards.
Whenever you cast a blue spell, tap target nonland permanent an opponent controls.",,3,3,"AJMP, ELD, PELD",Normal,
Hypnotic Sprite // Mesmeric Glare,ELD,U,U,Creature,Faerie,2,Uncommon,Flying,Flying,2,1,"ELD, PMEI, PRM",Adventure,a
Hypnotic Sprite // Mesmeric Glare,ELD,U,U,Instant,Adventure,2,Uncommon,Counter target spell with mana value 3 or less. (Then exile this card. You may cast the creature later from exile.),,,,"ELD, PMEI, PRM",Adventure,b
Into the Story,ELD,U,U,Instant,,7,Uncommon,"This spell costs {3} less to cast if an opponent has seven or more cards in their graveyard.
Draw four cards.",,,,ELD,Normal,
The Magic Mirror,ELD,U,U,Artifact,,9,Mythic,"This spell costs {1} less to cast for each instant and sorcery card in your graveyard.
You have no maximum hand size.
At the beginning of your upkeep, put a knowledge counter on The Magic Mirror, then draw a card for each knowledge counter on The Magic Mirror.",,,,"ELD, PELD",Normal,
Mantle of Tides,ELD,U,U,Artifact,Equipment,1,Common,"Equipped creature gets +1/+2.
Whenever you draw your second card each turn, attach Mantle of Tides to target creature you control.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",Equip,,,ELD,Normal,
Merfolk Secretkeeper // Venture Deeper,ELD,U,U,Creature,"Merfolk, Wizard",1,Common,,,0,4,"ELD, PRM",Adventure,a
Merfolk Secretkeeper // Venture Deeper,ELD,U,U,Sorcery,Adventure,1,Common,Target player mills four cards. (Then exile this card. You may cast the creature later from exile.),Mill,,,"ELD, PRM",Adventure,b
Midnight Clock,ELD,U,U,Artifact,,3,Rare,"{T}: Add {U}.
{2}{U}: Put an hour counter on Midnight Clock.
At the beginning of each upkeep, put an hour counter on Midnight Clock.
When the twelfth hour counter is put on Midnight Clock, shuffle your hand and graveyard into your library, then draw seven cards. Exile Midnight Clock.",,,,"ELD, PELD",Normal,
Mirrormade,ELD,U,U,Enchantment,,3,Rare,You may have Mirrormade enter the battlefield as a copy of any artifact or enchantment on the battlefield.,,,,"ELD, PELD",Normal,
Mistford River Turtle,ELD,U,U,Creature,Turtle,4,Common,"Whenever Mistford River Turtle attacks, another target attacking non-Human creature can't be blocked this turn.",,1,5,ELD,Normal,
Moonlit Scavengers,ELD,U,U,Creature,"Merfolk, Rogue",6,Common,"When Moonlit Scavengers enters the battlefield, if you control an artifact or enchantment, return target creature an opponent controls to its owner's hand.",,4,5,ELD,Normal,
Mystical Dispute,ELD,U,U,Instant,,3,Uncommon,"This spell costs {2} less to cast if it targets a blue spell.
Counter target spell unless its controller pays {3}.",,,,"ELD, PPRO",Normal,
Opt,ELD,U,U,Instant,,1,Common,"Scry 1.
Draw a card.",Scry,,,"DOM, ELD, INV, M21, MB1, PDOM, PRM, SLD, STA, WC01, XLN",Normal,
Overwhelmed Apprentice,ELD,U,U,Creature,"Human, Wizard",1,Uncommon,"When Overwhelmed Apprentice enters the battlefield, each opponent mills two cards. Then you scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)","Mill, Scry",1,2,ELD,Normal,
Queen of Ice // Rage of Winter,ELD,U,U,Creature,"Human, Noble, Wizard",3,Common,"Whenever Queen of Ice deals combat damage to a creature, tap that creature. It doesn't untap during its controller's next untap step.",,2,3,"ELD, PRM",Adventure,a
Queen of Ice // Rage of Winter,ELD,U,U,Sorcery,Adventure,3,Common,Tap target creature. It doesn't untap during its controller's next untap step. (Then exile this card. You may cast the creature later from exile.),,,,"ELD, PRM",Adventure,b
Run Away Together,ELD,U,U,Instant,,2,Common,Choose two target creatures controlled by different players. Return those creatures to their owners' hands.,,,,"CMR, ELD",Normal,
Sage of the Falls,ELD,U,U,Creature,"Merfolk, Wizard",5,Uncommon,"Whenever Sage of the Falls or another non-Human creature enters the battlefield under your control, you may draw a card. If you do, discard a card.",,2,5,ELD,Normal,
So Tiny,ELD,U,U,Enchantment,Aura,1,Common,"Flash
Enchant creature
Enchanted creature gets -2/-0. It gets -6/-0 instead as long as its controller has seven or more cards in their graveyard.","Enchant, Flash",,,ELD,Normal,
Steelgaze Griffin,ELD,U,U,Creature,Griffin,5,Common,"Flying
Whenever you draw your second card each turn, Steelgaze Griffin gets +2/+0 until end of turn.",Flying,2,4,ELD,Normal,
Stolen by the Fae,ELD,U,U,Sorcery,,2,Rare,Return target creature with mana value X to its owner's hand. You create X 1/1 blue Faerie creature tokens with flying.,,,,"ELD, PELD",Normal,
"Syr Elenora, the Discerning",ELD,U,U,Creature,"Human, Knight",5,Uncommon,"Syr Elenora, the Discerning's power is equal to the number of cards in your hand.
When Syr Elenora enters the battlefield, draw a card.
Spells your opponents cast that target Syr Elenora cost {2} more to cast.",,*,4,"ELD, MB1",Normal,
Tome Raider,ELD,U,U,Creature,Faerie,3,Common,"Flying
When Tome Raider enters the battlefield, draw a card.",Flying,1,1,ELD,Normal,
Turn into a Pumpkin,ELD,U,U,Instant,,4,Uncommon,"Return target nonland permanent to its owner's hand. Draw a card.
Adamant — If at least three blue mana was spent to cast this spell, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")",Adamant,,,ELD,Normal,
Unexplained Vision,ELD,U,U,Sorcery,,5,Common,"Draw three cards.
Adamant — If at least three blue mana was spent to cast this spell, scry 3.","Adamant, Scry",,,ELD,Normal,
Vantress Gargoyle,ELD,U,U,"Artifact, Creature",Gargoyle,2,Rare,"Flying
Vantress Gargoyle can't attack unless defending player has seven or more cards in their graveyard.
Vantress Gargoyle can't block unless you have four or more cards in hand.
{T}: Each player mills a card.","Flying, Mill",5,4,"ELD, PELD",Normal,
Vantress Paladin,ELD,U,U,Creature,"Human, Knight",4,Common,"Flying
Adamant — If at least three blue mana was spent to cast this spell, Vantress Paladin enters the battlefield with a +1/+1 counter on it.","Adamant, Flying",2,2,ELD,Normal,
Wishful Merfolk,ELD,U,U,Creature,Merfolk,2,Common,"Defender
{1}{U}: Wishful Merfolk loses defender and becomes a Human until end of turn.",Defender,3,2,"ELD, JMP, MB1",Normal,
Witching Well,ELD,U,U,Artifact,,1,Common,"When Witching Well enters the battlefield, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)
{3}{U}, Sacrifice Witching Well: Draw two cards.",Scry,,,ELD,Normal,
"Ayara, First of Locthwain",ELD,B,B,Creature,"Elf, Noble",3,Rare,"Whenever Ayara, First of Locthwain or another black creature enters the battlefield under your control, each opponent loses 1 life and you gain 1 life.
{T}, Sacrifice another black creature: Draw a card.",,2,3,"ELD, PELD",Normal,
Bake into a Pie,ELD,B,B,Instant,,4,Common,"Destroy target creature. Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")",,,,"ELD, JMP",Normal,
Barrow Witches,ELD,B,B,Creature,"Human, Warlock",5,Common,"When Barrow Witches enters the battlefield, return target Knight card from your graveyard to your hand.",,3,4,ELD,Normal,
Belle of the Brawl,ELD,B,B,Creature,"Human, Knight",3,Uncommon,"Menace (This creature can't be blocked except by two or more creatures.)
Whenever Belle of the Brawl attacks, other Knights you control get +1/+0 until end of turn.",Menace,3,2,ELD,Normal,
Blacklance Paragon,ELD,B,B,Creature,"Human, Knight",2,Rare,"Flash
When Blacklance Paragon enters the battlefield, target Knight gains deathtouch and lifelink until end of turn.",Flash,3,1,"ELD, PELD",Normal,
Bog Naughty,ELD,B,B,Creature,Faerie,5,Uncommon,"Flying
{2}{B}, Sacrifice a Food: Target creature gets -3/-3 until end of turn.",Flying,3,3,ELD,Normal,
Cauldron Familiar,ELD,B,B,Creature,Cat,1,Uncommon,"When Cauldron Familiar enters the battlefield, each opponent loses 1 life and you gain 1 life.
Sacrifice a Food: Return Cauldron Familiar from your graveyard to the battlefield.",,1,1,"ELD, JMP",Normal,
The Cauldron of Eternity,ELD,B,B,Artifact,,12,Mythic,"This spell costs {2} less to cast for each creature card in your graveyard.
Whenever a creature you control dies, put it on the bottom of its owner's library.
{2}{B}, {T}, Pay 2 life: Return target creature card from your graveyard to the battlefield. Activate only as a sorcery.",,,,"ELD, PELD",Normal,
Cauldron's Gift,ELD,B,B,Sorcery,,5,Uncommon,"Adamant — If at least three black mana was spent to cast this spell, mill four cards.
You may choose a creature card in your graveyard. If you do, return it to the battlefield with an additional +1/+1 counter on it.","Adamant, Mill",,,ELD,Normal,
Clackbridge Troll,ELD,B,B,Creature,Troll,5,Rare,"Trample, haste
When Clackbridge Troll enters the battlefield, target opponent creates three 0/1 white Goat creature tokens.
At the beginning of combat on your turn, any opponent may sacrifice a creature. If a player does, tap Clackbridge Troll, you gain 3 life, and you draw a card.","Haste, Trample",8,8,"ELD, PELD",Normal,
Epic Downfall,ELD,B,B,Sorcery,,2,Uncommon,Exile target creature with mana value 3 or greater.,,,,ELD,Normal,
Eye Collector,ELD,B,B,Creature,Faerie,1,Common,"Flying
Whenever Eye Collector deals combat damage to a player, each player mills a card.","Flying, Mill",1,1,ELD,Normal,
Festive Funeral,ELD,B,B,Instant,,5,Common,"Target creature gets -X/-X until end of turn, where X is the number of cards in your graveyard.",,,,ELD,Normal,
Foreboding Fruit,ELD,B,B,Sorcery,,3,Common,"Target player draws two cards and loses 2 life.
Adamant — If at least three black mana was spent to cast this spell, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")",Adamant,,,ELD,Normal,
Forever Young,ELD,B,B,Sorcery,,2,Common,"Put any number of target creature cards from your graveyard on top of your library.
Draw a card.",,,,ELD,Normal,
Foulmire Knight // Profane Insight,ELD,B,B,Creature,"Zombie, Knight",1,Uncommon,Deathtouch,Deathtouch,1,1,"ELD, PRM",Adventure,a
Foulmire Knight // Profane Insight,ELD,B,B,Instant,Adventure,1,Uncommon,You draw a card and you lose 1 life. (Then exile this card. You may cast the creature later from exile.),,,,"ELD, PRM",Adventure,b
Giant's Skewer,ELD,B,B,Artifact,Equipment,2,Common,"Equipped creature gets +2/+1.
Whenever equipped creature deals combat damage to a creature, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",Equip,,,ELD,Normal,
Lash of Thorns,ELD,B,B,Instant,,1,Common,Target creature gets +2/+1 and gains deathtouch until end of turn.,,,,ELD,Normal,
Locthwain Paladin,ELD,B,B,Creature,"Human, Knight",4,Common,"Menace (This creature can't be blocked except by two or more creatures.)
Adamant — If at least three black mana was spent to cast this spell, Locthwain Paladin enters the battlefield with a +1/+1 counter on it.","Adamant, Menace",3,2,ELD,Normal,
Lost Legion,ELD,B,B,Creature,"Spirit, Knight",3,Common,"When Lost Legion enters the battlefield, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",Scry,2,3,ELD,Normal,
Malevolent Noble,ELD,B,B,Creature,"Human, Noble",2,Common,"{2}, Sacrifice an artifact or another creature: Put a +1/+1 counter on Malevolent Noble.",,2,2,ELD,Normal,
Memory Theft,ELD,B,B,Sorcery,,3,Common,Target opponent reveals their hand. You choose a nonland card from it. That player discards that card. You may put a card that has an Adventure that player owns from exile into that player's graveyard.,,,,ELD,Normal,
Murderous Rider // Swift End,ELD,B,B,Creature,"Zombie, Knight",3,Rare,"Lifelink
When Murderous Rider dies, put it on the bottom of its owner's library.",Lifelink,2,3,"ELD, PELD, PRM",Adventure,a
Murderous Rider // Swift End,ELD,B,B,Instant,Adventure,3,Rare,Destroy target creature or planeswalker. You lose 2 life. (Then exile this card. You may cast the creature later from exile.),,,,"ELD, PELD, PRM",Adventure,b
Oathsworn Knight,ELD,B,B,Creature,"Human, Knight",3,Rare,"Oathsworn Knight enters the battlefield with four +1/+1 counters on it.
Oathsworn Knight attacks each combat if able.
If damage would be dealt to Oathsworn Knight while it has a +1/+1 counter on it, prevent that damage and remove a +1/+1 counter from it.",,0,0,"ELD, PELD",Normal,
Order of Midnight // Alter Fate,ELD,B,B,Creature,"Human, Knight",2,Uncommon,"Flying
Order of Midnight can't block.",Flying,2,2,"ELD, PRM",Adventure,a
Order of Midnight // Alter Fate,ELD,B,B,Sorcery,Adventure,2,Uncommon,Return target creature card from your graveyard to your hand. (Then exile this card. You may cast the creature later from exile.),,,,"ELD, PRM",Adventure,b
Piper of the Swarm,ELD,B,B,Creature,"Human, Warlock",2,Rare,"Rats you control have menace.
{1}{B}, {T}: Create a 1/1 black Rat creature token.
{2}{B}{B}, {T}, Sacrifice three Rats: Gain control of target creature.",,1,3,"ELD, PELD, PRM",Normal,
"Rankle, Master of Pranks",ELD,B,B,Creature,"Faerie, Rogue",4,Mythic,"Flying, haste
Whenever Rankle, Master of Pranks deals combat damage to a player, choose any number —
• Each player discards a card.
• Each player loses 1 life and draws a card.
• Each player sacrifices a creature.","Flying, Haste",3,3,"ELD, PELD",Normal,
Reaper of Night // Harvest Fear,ELD,B,B,Creature,Specter,7,Common,"Whenever Reaper of Night attacks, if defending player has two or fewer cards in hand, it gains flying until end of turn.",,4,5,"ELD, MB1, PRM",Adventure,a
Reaper of Night // Harvest Fear,ELD,B,B,Sorcery,Adventure,7,Common,Target opponent discards two cards. (Then exile this card. You may cast the creature later from exile.),,,,"ELD, MB1, PRM",Adventure,b
Reave Soul,ELD,B,B,Sorcery,,2,Common,Destroy target creature with power 3 or less.,,,,"ELD, IMA, ORI",Normal,
Revenge of Ravens,ELD,B,B,Enchantment,,4,Uncommon,"Whenever a creature attacks you or a planeswalker you control, that creature's controller loses 1 life and you gain 1 life.",,,,ELD,Normal,
Smitten Swordmaster // Curry Favor,ELD,B,B,Creature,"Human, Knight",2,Common,Lifelink,Lifelink,2,1,"ELD, PRM",Adventure,a
Smitten Swordmaster // Curry Favor,ELD,B,B,Sorcery,Adventure,2,Common,"You gain X life and each opponent loses X life, where X is the number of Knights you control.",,,,"ELD, PRM",Adventure,b
Specter's Shriek,ELD,B,B,Sorcery,,1,Uncommon,"Target opponent reveals their hand. You may choose a nonland card from it. If you do, that player exiles that card. If a nonblack card is exiled this way, exile a card from your hand.",,,,ELD,Normal,
"Syr Konrad, the Grim",ELD,B,B,Creature,"Human, Knight",5,Uncommon,"Whenever another creature dies, or a creature card is put into a graveyard from anywhere other than the battlefield, or a creature card leaves your graveyard, Syr Konrad, the Grim deals 1 damage to each opponent.
{1}{B}: Each player mills a card.",Mill,5,4,"ELD, ZNC",Normal,
Tempting Witch,ELD,B,B,Creature,"Human, Warlock",3,Common,"When Tempting Witch enters the battlefield, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")
{2}, {T}, Sacrifice a Food: Target player loses 3 life.",,1,3,"ELD, JMP",Normal,
Wicked Guardian,ELD,B,B,Creature,"Human, Noble",4,Common,"When Wicked Guardian enters the battlefield, you may have it deal 2 damage to another creature you control. If you do, draw a card.",,4,2,ELD,Normal,
Wishclaw Talisman,ELD,B,B,Artifact,,2,Rare,"Wishclaw Talisman enters the battlefield with three wish counters on it.
{1}, {T}, Remove a wish counter from Wishclaw Talisman: Search your library for a card, put it into your hand, then shuffle. An opponent gains control of Wishclaw Talisman. Activate only during your turn.",,,,"ELD, PELD",Normal,
Witch's Vengeance,ELD,B,B,Sorcery,,3,Rare,Creatures of the creature type of your choice get -3/-3 until end of turn.,,,,"ELD, PELD",Normal,
Barge In,ELD,R,R,Instant,,1,Common,Target attacking creature gets +2/+2 until end of turn. Each attacking non-Human creature gains trample until end of turn.,,,,ELD,Normal,
Bloodhaze Wolverine,ELD,R,R,Creature,Wolverine,2,Common,"Whenever you draw your second card each turn, Bloodhaze Wolverine gets +1/+1 and gains first strike until end of turn.",,2,1,ELD,Normal,
Blow Your House Down,ELD,R,R,Sorcery,,3,Common,Up to three target creatures can't block this turn. Destroy any of them that are Walls.,,,,"ELD, MB1",Normal,
Bonecrusher Giant // Stomp,ELD,R,R,Creature,Giant,3,Rare,"Whenever Bonecrusher Giant becomes the target of a spell, Bonecrusher Giant deals 2 damage to that spell's controller.",,4,3,"ELD, PELD, PLIST, PRM",Adventure,a
Bonecrusher Giant // Stomp,ELD,R,R,Instant,Adventure,3,Rare,Damage can't be prevented this turn. Stomp deals 2 damage to any target.,,,,"ELD, PELD, PLIST, PRM",Adventure,b
